Timestamp,Meal,Food,Units,Grams per Unit,Total Grams,Calories,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber
2024-10-31,Breakfast,egg fried,3,100.0,300.0,270.0,20.4,6.0,8.399999999999999,4.5,1.2000000000000002,0.6000000000000001,18.9,0.0
2024-10-31,Lunch,Sardines au naturel,1,125.0,125.0,233.75,11.875,0.0,0.0,0.0,0.0,0.0,29.125,0.0
2024-10-31,Snack,chocolate hazelnut spread,1,100.0,100.0,100.0,5.5,5.3,0.0,0.0,11.5,10.0,1.0,1.0
2024-10-31,Pre-Training,pasta with meatballs in tomato sauce,1,100.0,100.0,273.0,13.0,5.0,5.7,0.9,28.3,7.2,10.6,6.9
2024-10-31,Dinner,ham and cheese spread,1,100.0,100.0,37.0,2.8,1.3,1.1,0.2,0.3,0.0,2.4,0.0
2024-11-01,Breakfast,chinese egg roll,1,100.0,100.0,223.0,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3
2024-11-01,Breakfast,chinese egg roll,1,100.0,100.0,223.0,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3
2024-11-02,Breakfast,chinese egg roll,1,100.0,100.0,223.0,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3
2024-11-02,Dinner,ham and cheese spread,1,100.0,100.0,37.0,2.8,1.3,1.1,0.2,0.3,0.0,2.4,0.0
2024-11-03,Breakfast,chinese egg roll,1,100.0,100.0,223.0,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3
